demo,claim_id,claim_type,value,manuscript_loc,qc_artifact,analysis_table,source_data_manifest,verified_citation,provenance_score,match_confidence,auto_or_manual,claim_text
03_nhanes_obesity,C011,numerical,2.39,L132,,yes,yes,,complete,exact,auto,"s were observed for non-Hispanic Asian (aOR 2.39; 95% CI, 1.53-3.75), other/multiracial"
03_nhanes_obesity,C012,numerical,1.95,L132,,yes,yes,,complete,exact,auto,"95% CI, 1.53-3.75), other/multiracial (aOR 1.95; 95% CI, 1.37-2.77), and Mexican Americ"
03_nhanes_obesity,C013,numerical,1.68,L133,,,,,missing,,auto,"% CI, 1.37-2.77), and Mexican American (aOR 1.68; 95% CI, 1.17-2.41) adults. ### Sensit"
03_nhanes_obesity,C014,numerical,9.8,L138,outputs_md,yes,yes,,partial,loose,auto,"weighted prevalence of an HbA1c of 6.5% or higher was 9.8% (95% CI, 8.8-10.8). Using this laborat"
03_nhanes_obesity,C015,numerical,2.95,L139,yes,yes,yes,,partial,loose,auto,"s concordant with the primary analysis (aOR 2.95; 95% CI, 2.18-3.98). ## **DISCUSSION**"
03_nhanes_obesity,C016,numerical,10.6,L18,yes,yes,yes,,partial,loose,auto,"as 11.7% (95% confidence interval [CI], 10.6-12.8) and of obesity 42.3% (95% CI, 38.9-45."
03_nhanes_obesity,C017,numerical,12.8,L18,yes,yes,yes,,complete,exact,auto,"as 11.7% (95% confidence interval [CI], 10.6-12.8) and of obesity 42.3% (95% CI, 38.9-45."
03_nhanes_obesity,C018,numerical,38.9,L19,yes,yes,yes,,partial,loose,auto,"0.6-12.8) and of obesity 42.3% (95% CI, 38.9-45.7). The weighted prevalence of diabetes w"
03_nhanes_obesity,C019,numerical,45.7,L19,yes,yes,yes,,partial,loose,auto,"0.6-12.8) and of obesity 42.3% (95% CI, 38.9-45.7). The weighted prevalence of diabetes w"
03_nhanes_obesity,C020,numerical,2.29,L21,yes,yes,yes,,partial,loose,auto,"ciated with diabetes (aOR 3.03; 95% CI, 2.29-4.02; p < 0.001) after adjustment for age, s"
03_nhanes_obesity,C021,numerical,4.02,L21,yes,yes,yes,,partial,loose,auto,"ciated with diabetes (aOR 3.03; 95% CI, 2.29-4.02; p < 0.001) after adjustment for age, s"
03_nhanes_obesity,C022,numerical,2.18,L23,yes,yes,yes,,complete,exact,auto,"lysis was concordant (aOR 2.95; 95% CI, 2.18-3.98). **Conclusion:** In this nationally r"
03_nhanes_obesity,C023,numerical,3.98,L23,yes,yes,yes,,partial,loose,auto,"lysis was concordant (aOR 2.95; 95% CI, 2.18-3.98). **Conclusion:** In this nationally r"
03_nhanes_obesity,C024,numerical,10.6,L119,yes,yes,yes,,partial,loose,auto,"evalence of diabetes was 11.7% (95% CI, 10.6-12.8), and the weighted prevalence of obesit"
03_nhanes_obesity,C025,numerical,12.8,L119,yes,yes,yes,,complete,exact,auto,"evalence of diabetes was 11.7% (95% CI, 10.6-12.8), and the weighted prevalence of obesit"
03_nhanes_obesity,C026,numerical,38.9,L120,yes,yes,yes,,partial,loose,auto,"revalence of obesity was 42.3% (95% CI, 38.9-45.7). Adults with diabetes were older than"
03_nhanes_obesity,C027,numerical,45.7,L120,yes,yes,yes,,partial,loose,auto,"revalence of obesity was 42.3% (95% CI, 38.9-45.7). Adults with diabetes were older than"
03_nhanes_obesity,C028,numerical,2.29,L128,yes,yes,yes,,partial,loose,auto,"lf-reported diabetes (aOR 3.03; 95% CI, 2.29-4.02; p < 0.001) after adjustment for age, s"
03_nhanes_obesity,C029,numerical,4.02,L128,yes,yes,yes,,partial,loose,auto,"lf-reported diabetes (aOR 3.03; 95% CI, 2.29-4.02; p < 0.001) after adjustment for age, s"
03_nhanes_obesity,C030,numerical,1.06,L130,,yes,yes,,partial,loose,auto,"th diabetes (aOR 1.07 per year; 95% CI, 1.06-1.08; p < 0.001), and female sex was associa"
03_nhanes_obesity,C031,numerical,1.08,L130,,,,,missing,,auto,"th diabetes (aOR 1.07 per year; 95% CI, 1.06-1.08; p < 0.001), and female sex was associa"
03_nhanes_obesity,C032,numerical,0.47,L131,,yes,yes,,complete,exact,auto,"ated with lower odds (aOR 0.66; 95% CI, 0.47-0.92; p = 0.046). Relative to non-Hispanic W"
03_nhanes_obesity,C033,numerical,0.92,L131,,yes,yes,,complete,exact,auto,"ated with lower odds (aOR 0.66; 95% CI, 0.47-0.92; p = 0.046). Relative to non-Hispanic W"
03_nhanes_obesity,C034,numerical,1.53,L132,,,,,missing,,auto,"r non-Hispanic Asian (aOR 2.39; 95% CI, 1.53-3.75), other/multiracial (aOR 1.95; 95% CI,"
03_nhanes_obesity,C035,numerical,3.75,L132,,yes,yes,,complete,exact,auto,"r non-Hispanic Asian (aOR 2.39; 95% CI, 1.53-3.75), other/multiracial (aOR 1.95; 95% CI,"
03_nhanes_obesity,C036,numerical,1.37,L133,,yes,yes,,complete,exact,auto,"), other/multiracial (aOR 1.95; 95% CI, 1.37-2.77), and Mexican American (aOR 1.68; 95% C"
03_nhanes_obesity,C037,numerical,2.77,L133,,yes,yes,,complete,exact,auto,"), other/multiracial (aOR 1.95; 95% CI, 1.37-2.77), and Mexican American (aOR 1.68; 95% C"
03_nhanes_obesity,C038,numerical,1.17,L133,,,,,missing,,auto,"and Mexican American (aOR 1.68; 95% CI, 1.17-2.41) adults. ### Sensitivity analysis Amo"
03_nhanes_obesity,C039,numerical,2.41,L133,,yes,yes,,complete,exact,auto,"and Mexican American (aOR 1.68; 95% CI, 1.17-2.41) adults. ### Sensitivity analysis Amo"
03_nhanes_obesity,C040,numerical,8.8,L138,outputs_md,yes,yes,,complete,exact,auto,"A1c of 6.5% or higher was 9.8% (95% CI, 8.8-10.8). Using this laboratory-based outcome,"
03_nhanes_obesity,C041,numerical,10.8,L138,outputs_md,yes,yes,,partial,loose,auto,"A1c of 6.5% or higher was 9.8% (95% CI, 8.8-10.8). Using this laboratory-based outcome,"
03_nhanes_obesity,C042,numerical,2.18,L140,yes,yes,yes,,complete,exact,auto,"the primary analysis (aOR 2.95; 95% CI, 2.18-3.98). ## **DISCUSSION** In a nationally r"
03_nhanes_obesity,C043,numerical,3.98,L140,yes,yes,yes,,partial,loose,auto,"the primary analysis (aOR 2.95; 95% CI, 2.18-3.98). ## **DISCUSSION** In a nationally r"
03_nhanes_obesity,C044,numerical,2018,L17,yes,yes,yes,,partial,loose,auto,"sis. **Results:** Of 9,254 NHANES 2017-2018 participants, 5,010 met eligibility criteria. The we"
03_nhanes_obesity,C045,numerical,2018,L111,yes,yes,yes,,partial,loose,auto,"### Participants Of 9,254 NHANES 2017-2018 participants, 3,685 were excluded for being younger"
03_nhanes_obesity,C046,numerical,5010,L114,yes,yes,yes,,complete,exact,auto,"ht. The final analytic sample comprised 5,010 adults, of whom 2,090 (41.7%) were classified"
03_nhanes_obesity,C047,numerical,4779,L137,yes,yes,yes,,complete,exact,auto,"s. ### Sensitivity analysis Among the 4,779 participants with an available HbA1c measurement, th"
03_nhanes_obesity,C048,numerical,2018,L192,yes,yes,yes,,partial,loose,auto,Weighted characteristics of NHANES 2017-2018 adults by diabetes status. See `analysis/table
03_nhanes_obesity,C049,numerical,2018,L200,yes,yes,yes,,partial,loose,auto,ends **Figure 1.** Flow of NHANES 2017-2018 participants through eligibility criteria to the ana
03_nhanes_obesity,C050,numerical,5010,L201,yes,yes,yes,,complete,exact,auto,"bility criteria to the analytic sample (n = 5,010). Dashed boxes indicate exclusions. **"
03_nhanes_obesity,C051,numerical,6.5,L14,yes,yes,yes,,partial,loose,auto,glycohemoglobin-based outcome (HbA1c of 6.5% or higher) was used in a sensitivity an
03_nhanes_obesity,C052,numerical,11.7,L18,yes,yes,yes,,partial,loose,auto,"The weighted prevalence of diabetes was 11.7% (95% confidence interval [CI], 10.6-12."
03_nhanes_obesity,C053,numerical,42.3,L19,yes,yes,yes,,partial,loose,auto,"nterval [CI], 10.6-12.8) and of obesity 42.3% (95% CI, 38.9-45.7). The weighted preva"
03_nhanes_obesity,C054,numerical,7.6,L19,yes,,,,missing,,auto,The weighted prevalence of diabetes was 7.6% among non-obese adults and 17.3% among
03_nhanes_obesity,C055,numerical,17.3,L20,yes,,,,missing,,auto,tes was 7.6% among non-obese adults and 17.3% among adults with obesity. In the surve
03_nhanes_obesity,C056,numerical,6.5,L83,yes,yes,yes,,partial,loose,auto,"tes, we used glycohemoglobin (HbA1c) of 6.5% or higher among participants with an av"
03_nhanes_obesity,C057,numerical,41.7,L114,,,,,missing,,auto,"comprised 5,010 adults, of whom 2,090 (41.7%) were classified as obese on unweighted"
03_nhanes_obesity,C058,numerical,11.7,L119,yes,yes,yes,,partial,loose,auto,"The weighted prevalence of diabetes was 11.7% (95% CI, 10.6-12.8), and the weighted p"
03_nhanes_obesity,C059,numerical,42.3,L120,yes,yes,yes,,partial,loose,auto,"the weighted prevalence of obesity was 42.3% (95% CI, 38.9-45.7). Adults with diabet"
03_nhanes_obesity,C060,numerical,7.6,L122,yes,,,,missing,,auto,The weighted prevalence of diabetes was 7.6% among non-obese adults and 17.3% among
03_nhanes_obesity,C061,numerical,17.3,L123,yes,,,,missing,,auto,tes was 7.6% among non-obese adults and 17.3% among adults with obesity. ### Associa
03_nhanes_obesity,C062,numerical,6.5,L138,yes,yes,yes,,partial,loose,auto,"the weighted prevalence of an HbA1c of 6.5% or higher was 9.8% (95% CI, 8.8-10.8)."
03_nhanes_obesity,C063,numerical,9.8,L138,outputs_md,yes,yes,,partial,loose,auto,"lence of an HbA1c of 6.5% or higher was 9.8% (95% CI, 8.8-10.8). Using this laborato"
03_nhanes_obesity,C064,numerical,42.3,L148,yes,yes,yes,,partial,loose,auto,e. The weighted prevalences of obesity (42.3%) and diabetes (11.7%) are consistent wi
03_nhanes_obesity,C065,numerical,11.7,L148,yes,yes,yes,,partial,loose,auto,lences of obesity (42.3%) and diabetes (11.7%) are consistent with the high populatio
03_nhanes_obesity,C066,numerical,7.6,L162,yes,,,,missing,,auto,ed prevalence: diabetes was reported by 7.6% of non-obese adults and 17.3% of adults
03_nhanes_obesity,C067,numerical,17.3,L162,yes,,,,missing,,auto,"eported by 7.6% of non-obese adults and 17.3% of adults with obesity, a gradient that"
03_nhanes_obesity,C068,reporting,STROBE,L66,yes,,,,complete,,auto,condary analysis. Reporting follows the STROBE recommendations for cross-sectional stu
03_nhanes_obesity,C069,figure_table,Table 1,L95,,,,,manual-only,,manual,confidence intervals (CIs). A weighted Table 1 described participant characteristics b
03_nhanes_obesity,C070,figure_table,Figure 1,L115,,,,,manual-only,,manual,"weighted counts and 2,920 as non-obese (Figure 1). ### Weighted prevalence The weighte"
03_nhanes_obesity,C071,figure_table,Table 1,L122,,,,,manual-only,,manual,her mean BMI (33.3 versus 29.3 kg/m^2) (Table 1). The weighted prevalence of diabetes w
03_nhanes_obesity,C072,figure_table,Table 2,L129,,,,,manual-only,,manual,"tment for age, sex, and race/ethnicity (Table 2, Figure 2). Older age was also associat"
03_nhanes_obesity,C073,figure_table,Figure 2,L129,,,,,manual-only,,manual,"age, sex, and race/ethnicity (Table 2, Figure 2). Older age was also associated with di"
03_nhanes_obesity,C074,figure_table,Table 1,L192,,,,,manual-only,,manual,rality and disease onset. ## Tables **Table 1.** Weighted characteristics of NHANES 2
03_nhanes_obesity,C075,figure_table,Table 2,L195,,,,,manual-only,,manual,s. See `analysis/tables/table1.csv`. **Table 2.** Survey-weighted logistic regression
03_nhanes_obesity,C076,figure_table,Figure 1,L200,,,,,manual-only,,manual,gression_or.csv`. ## Figure Legends **Figure 1.** Flow of NHANES 2017-2018 participant
03_nhanes_obesity,C077,figure_table,Figure 2,L203,,,,,manual-only,,manual,). Dashed boxes indicate exclusions. **Figure 2.** Adjusted odds ratios (95% CI) for se
03_nhanes_obesity,C078,analysis_method,Survey-weighted,L12,,script,yes,,complete,,auto,-reported physician-diagnosed diabetes. Survey-weighted logistic regression (examination weight
03_nhanes_obesity,C079,analysis_method,logistic regression,L12,,script,yes,,complete,,auto,"ian-diagnosed diabetes. Survey-weighted logistic regression (examination weights, with stratificati"
03_nhanes_obesity,C080,analysis_method,survey-weighted,L20,,script,yes,,complete,,auto,"17.3% among adults with obesity. In the survey-weighted model, obesity was associated with diab"
03_nhanes_obesity,C081,analysis_method,survey-weighted,L47,,script,yes,,complete,,auto,"NVERIFIED]. A weighted prevalence and a survey-weighted odds ratio, estimated with design-based"
03_nhanes_obesity,C082,analysis_method,survey-weighted,L96,,script,yes,,complete,,auto,t characteristics by diabetes status. A survey-weighted logistic regression model estimated the
03_nhanes_obesity,C083,analysis_method,logistic regression,L96,,script,yes,,complete,,auto,s by diabetes status. A survey-weighted logistic regression model estimated the adjusted odds ratio
03_nhanes_obesity,C084,analysis_method,survey-weighted,L127,,script,yes,,complete,,auto,"on between obesity and diabetes In the survey-weighted logistic regression model, obesity was"
03_nhanes_obesity,C085,analysis_method,logistic regression,L127,,script,yes,,complete,,auto,"ty and diabetes In the survey-weighted logistic regression model, obesity was associated with self"
03_nhanes_obesity,C086,analysis_method,survey-weighted,L186,,script,yes,,complete,,auto,pendently associated with diabetes in a survey-weighted analysis. Given the cross-sectional des
03_nhanes_obesity,C087,analysis_method,Survey-weighted,L195,,script,yes,,complete,,auto,lysis/tables/table1.csv`. **Table 2.** Survey-weighted logistic regression for self-reported d
03_nhanes_obesity,C088,analysis_method,logistic regression,L195,,script,yes,,complete,,auto,le1.csv`. **Table 2.** Survey-weighted logistic regression for self-reported diabetes (adjusted od
03_nhanes_obesity,C089,analysis_method,survey-weighted,L204,,script,yes,,complete,,auto,"CI) for self-reported diabetes from the survey-weighted logistic regression model (weights, str"
03_nhanes_obesity,C090,analysis_method,logistic regression,L204,,script,yes,,complete,,auto,"orted diabetes from the survey-weighted logistic regression model (weights, stratification, and clu"
